ID Producto,ID Tienda,Fecha de Venta,Cantidad Vendida,Precio Unitario,Categoría de Producto,Ubicación de Tienda,Promoción o Descuento,Estacionalidad,Método de Pago,Nivel de Inventario,Venta_Total
Producto_24,Tienda_7,2023-09-11,39,335.55,Juguetes,Zona Sur,0,1,Efectivo,200,13086.45
Producto_16,Tienda_4,2022-12-15,26,175.1,Hogar,Zona Oeste,1,1,Tarjeta,300,4552.599999999999
Producto_34,Tienda_6,2022-05-13,74,97.49,Juguetes,Zona Norte,1,1,Tarjeta,500,7214.259999999999
Producto_14,Tienda_9,2023-03-09,18,194.91,Alimentos,Zona Este,0,1,Efectivo,5,3508.38
Producto_37,Tienda_1,2022-09-15,14,210.39,Hogar,Zona Oeste,1,1,Tarjeta,30,2945.46
Producto_37,Tienda_10,2022-10-07,42,143.91,Alimentos,Zona Oeste,1,0,Crédito,10,6044.22
Producto_26,Tienda_1,2022-06-17,60,489.55,Alimentos,Zona Este,0,0,Efectivo,50,29373.0
Producto_27,Tienda_10,2022-10-04,5,90.56,Electrónica,Zona Norte,0,0,Crédito,5,452.8
Producto_29,Tienda_9,2023-12-08,10,321.11,Juguetes,Zona Norte,0,0,Efectivo,10,3211.1000000000004
Producto_2,Tienda_7,2022-06-10,78,445.87,Ropa,Zona Oeste,1,1,Crédito,200,34777.86
Producto_8,Tienda_10,2023-12-18,59,395.24,Deportes,Zona Sur,1,0,Tarjeta,500,23319.16
Producto_30,Tienda_3,2022-10-25,60,456.39,Electrónica,Zona Oeste,1,1,Crédito,500,27383.399999999998
Producto_50,Tienda_3,2023-05-30,24,28.12,Alimentos,Zona Oeste,0,1,Tarjeta,200,674.88
Producto_29,Tienda_2,2022-04-05,32,411.55,Ropa,Zona Sur,0,1,Crédito,50,13169.6
Producto_49,Tienda_10,2022-11-22,68,486.03,Hogar,Zona Este,0,0,Tarjeta,30,33050.04
Producto_16,Tienda_2,2022-05-02,31,78.76,Juguetes,Zona Sur,0,1,Efectivo,10,2441.56
Producto_38,Tienda_2,2023-12-05,80,323.49,Hogar,Zona Norte,0,0,Efectivo,200,25879.2
Producto_33,Tienda_9,2023-08-27,90,383.93,Alimentos,Zona Norte,0,0,Crédito,20,34553.7
Producto_34,Tienda_8,2022-11-06,60,74.14,Hogar,Zona Oeste,0,1,Efectivo,300,4448.4
Producto_11,Tienda_10,2022-10-15,13,84.71,Electrónica,Zona Este,0,0,Tarjeta,300,1101.23
Producto_34,Tienda_3,2023-01-31,51,42.71,Ropa,Zona Oeste,1,1,Tarjeta,100,2178.21
Producto_50,Tienda_10,2022-10-12,84,141.49,Alimentos,Zona Sur,0,1,Tarjeta,10,11885.16
Producto_7,Tienda_10,2023-06-27,98,357.62,Electrónica,Zona Sur,1,1,Tarjeta,500,35046.76
Producto_34,Tienda_3,2022-11-21,56,267.11,Deportes,Zona Este,0,0,Efectivo,200,14958.16
Producto_10,Tienda_4,2023-12-01,64,489.95,Hogar,Zona Oeste,0,1,Tarjeta,20,31356.8
Producto_1,Tienda_9,2022-05-05,61,124.14,Alimentos,Zona Este,1,1,Crédito,30,7572.54
Producto_17,Tienda_10,2022-08-01,5,29.79,Deportes,Zona Sur,1,0,Efectivo,50,148.95
Producto_2,Tienda_5,2023-12-09,72,447.32,Hogar,Zona Oeste,1,0,Tarjeta,30,32207.04
Producto_37,Tienda_5,2022-10-15,47,159.83,Ropa,Zona Este,1,0,Tarjeta,5,7512.01
Producto_7,Tienda_9,2023-09-08,90,215.94,Electrónica,Zona Oeste,0,1,Efectivo,100,19434.6
Producto_42,Tienda_8,2022-06-15,53,275.9,Hogar,Zona Este,0,0,Crédito,20,14622.699999999999
Producto_22,Tienda_10,2022-06-24,45,76.38,Ropa,Zona Sur,0,1,Tarjeta,5,3437.1
Producto_48,Tienda_7,2022-01-27,27,188.46,Deportes,Zona Norte,0,0,Tarjeta,50,5088.42
Producto_24,Tienda_1,2023-08-22,43,376.96,Juguetes,Zona Norte,1,1,Tarjeta,200,16209.279999999999
Producto_24,Tienda_1,2022-02-19,83,454.15,Electrónica,Zona Oeste,1,1,Efectivo,300,37694.45
Producto_35,Tienda_6,2023-06-17,98,128.3,Juguetes,Zona Oeste,1,1,Crédito,100,12573.400000000001
Producto_19,Tienda_9,2023-05-22,89,88.62,Alimentos,Zona Este,1,0,Tarjeta,50,7887.18
Producto_49,Tienda_3,2022-06-16,35,339.16,Alimentos,Zona Norte,0,1,Crédito,10,11870.6
Producto_37,Tienda_1,2023-08-26,87,358.38,Electrónica,Zona Norte,1,1,Crédito,20,31179.06
Producto_45,Tienda_9,2022-02-20,41,250.16,Ropa,Zona Este,0,1,Tarjeta,200,10256.56
Producto_20,Tienda_6,2023-08-01,70,213.04,Electrónica,Zona Oeste,0,0,Efectivo,20,14912.8
Producto_3,Tienda_3,2022-11-12,76,480.4,Deportes,Zona Este,1,0,Tarjeta,500,36510.4
Producto_35,Tienda_1,2022-05-08,4,35.08,Deportes,Zona Sur,0,0,Efectivo,200,140.32
Producto_33,Tienda_8,2023-11-03,95,244.68,Hogar,Zona Este,1,0,Tarjeta,5,23244.600000000002
Producto_47,Tienda_1,2023-11-20,19,318.19,Ropa,Zona Este,1,1,Efectivo,500,6045.61
Producto_11,Tienda_9,2022-03-04,98,485.53,Electrónica,Zona Este,0,1,Tarjeta,10,47581.939999999995
Producto_48,Tienda_10,2022-09-06,55,173.79,Hogar,Zona Este,1,0,Efectivo,50,9558.449999999999
Producto_14,Tienda_4,2022-03-25,71,477.7,Electrónica,Zona Este,1,0,Efectivo,10,33916.7
Producto_22,Tienda_2,2022-08-10,57,393.63,Electrónica,Zona Oeste,1,1,Efectivo,50,22436.91
Producto_39,Tienda_2,2022-07-20,100,156.68,Juguetes,Zona Norte,1,1,Tarjeta,5,15668.0
Producto_26,Tienda_2,2022-03-25,18,493.48,Hogar,Zona Este,0,1,Tarjeta,500,8882.64
Producto_1,Tienda_6,2022-06-22,95,250.9,Deportes,Zona Este,0,0,Efectivo,50,23835.5
Producto_48,Tienda_10,2023-06-01,21,90.18,Juguetes,Zona Norte,0,0,Tarjeta,50,1893.7800000000002
Producto_40,Tienda_7,2023-04-23,25,229.4,Juguetes,Zona Oeste,1,0,Crédito,200,5735.0
Producto_17,Tienda_9,2023-08-07,61,33.44,Ropa,Zona Oeste,0,0,Crédito,30,2039.84
Producto_28,Tienda_9,2023-02-26,47,17.45,Juguetes,Zona Norte,1,1,Tarjeta,20,820.15
Producto_40,Tienda_10,2023-07-27,79,280.71,Hogar,Zona Norte,0,1,Crédito,50,22176.09
Producto_4,Tienda_8,2023-10-03,53,33.47,Deportes,Zona Oeste,1,1,Tarjeta,10,1773.9099999999999
Producto_38,Tienda_6,2023-09-12,89,114.05,Ropa,Zona Norte,1,1,Efectivo,30,10150.449999999999
Producto_31,Tienda_2,2022-10-02,16,11.44,Deportes,Zona Oeste,1,0,Crédito,200,183.04
Producto_26,Tienda_10,2022-10-29,63,387.25,Ropa,Zona Oeste,0,1,Crédito,30,24396.75
Producto_3,Tienda_5,2023-05-14,88,86.69,Hogar,Zona Este,1,0,Tarjeta,30,7628.719999999999
Producto_40,Tienda_10,2023-12-26,99,144.4,Alimentos,Zona Este,0,0,Crédito,100,14295.6
Producto_18,Tienda_6,2023-05-03,88,496.95,Ropa,Zona Sur,0,0,Efectivo,200,43731.6
Producto_8,Tienda_10,2023-02-13,49,110.64,Electrónica,Zona Sur,0,0,Tarjeta,500,5421.36
Producto_38,Tienda_7,2022-01-11,80,292.11,Deportes,Zona Este,1,1,Tarjeta,5,23368.800000000003
Producto_32,Tienda_8,2023-11-02,24,309.72,Deportes,Zona Oeste,0,0,Efectivo,300,7433.280000000001
Producto_17,Tienda_5,2022-06-13,10,317.8,Juguetes,Zona Norte,1,0,Crédito,50,3178.0
Producto_47,Tienda_10,2022-11-22,46,278.72,Ropa,Zona Norte,1,0,Efectivo,20,12821.12
Producto_33,Tienda_9,2022-03-15,41,289.23,Juguetes,Zona Oeste,1,1,Crédito,30,11858.43
Producto_46,Tienda_2,2023-01-01,89,488.11,Deportes,Zona Norte,1,0,Efectivo,30,43441.79
Producto_28,Tienda_2,2022-01-17,77,218.43,Juguetes,Zona Norte,0,0,Tarjeta,10,16819.11
Producto_20,Tienda_8,2023-01-30,9,305.65,Deportes,Zona Norte,1,0,Crédito,20,2750.85
Producto_37,Tienda_2,2022-07-06,32,128.07,Electrónica,Zona Norte,1,0,Efectivo,300,4098.24
Producto_11,Tienda_9,2023-09-07,88,474.92,Hogar,Zona Oeste,1,1,Tarjeta,10,41792.96
Producto_32,Tienda_6,2022-12-30,87,374.46,Hogar,Zona Sur,1,1,Efectivo,5,32578.019999999997
Producto_13,Tienda_4,2023-08-03,75,45.74,Hogar,Zona Norte,1,1,Efectivo,50,3430.5
Producto_14,Tienda_1,2023-01-08,51,410.29,Electrónica,Zona Este,0,1,Crédito,100,20924.79
Producto_9,Tienda_5,2022-07-18,57,428.19,Hogar,Zona Sur,1,1,Tarjeta,5,24406.829999999998
Producto_24,Tienda_3,2023-07-31,36,428.54,Deportes,Zona Oeste,0,0,Efectivo,300,15427.44
Producto_11,Tienda_4,2022-05-10,96,100.7,Alimentos,Zona Oeste,1,0,Efectivo,5,9667.2
Producto_32,Tienda_3,2022-08-26,71,148.84,Deportes,Zona Sur,1,1,Crédito,20,10567.64
Producto_32,Tienda_5,2022-02-09,98,366.2,Electrónica,Zona Sur,0,1,Efectivo,10,35887.6
Producto_17,Tienda_6,2023-11-07,2,147.85,Ropa,Zona Oeste,1,1,Crédito,50,295.7
Producto_40,Tienda_1,2022-03-26,41,308.79,Hogar,Zona Sur,0,1,Tarjeta,5,12660.390000000001
Producto_41,Tienda_2,2023-08-12,33,432.74,Juguetes,Zona Sur,0,1,Tarjeta,5,14280.42
Producto_11,Tienda_8,2022-10-31,90,418.26,Hogar,Zona Sur,0,1,Tarjeta,500,37643.4
Producto_12,Tienda_8,2022-02-18,66,390.45,Hogar,Zona Este,0,1,Efectivo,200,25769.7
Producto_37,Tienda_5,2023-04-28,63,272.35,Juguetes,Zona Oeste,0,1,Tarjeta,10,17158.050000000003
